Name,Department,year1,year2,year3,year4,year5,Years,Graduated
Malcomm Marla,Building Technology,4,4.4,3.2,3.6,,4,2015
Charlotte Coutiho,Physics,2.8,4,2.8,2.8,,4,2015
Febo Casandra,Data Analysis,2.8,2.4,3.2,,,3,2016
McCall Shorya,Statistics,2,4.4,3.6,,,3,2016
Thompson Mercy,Statistics,2.4,4,2,,,3,2016
Subdila Whice,Data Analysis,4.4,2,4.4,3.2,,4,2015
Torgan Dunlop,Data Analysis,4,2.4,4,3.2,3.2,5,2014
Anderson Nicki,Architecture,3.6,2,3.2,4.4,,4,2015
Robert Fredie,Data Analysis,4.4,2.8,3.6,3.6,2,5,2014
Honda Brenda,Geology,4,4,3.6,,,3,2016
Marcos Bill,Architecture,3.6,3.2,3.6,,,3,2016
Sebastian Gopy,Information Technology,4,2.4,4.4,,,3,2016
Sellini Esther,Data Analysis,3.2,2.4,4.4,4.4,,4,2015
Manchester Justin,Micro Biology,2.8,4,2.4,,,3,2016
McCoaster Berger,Data Analysis,2.4,2,3.6,,,3,2016
Richard James,Micro Biology,3.6,3.2,3.2,3.6,,4,2015
Alexander Berger,Building Technology,2.8,4.4,2.8,3.2,,4,2015
Sellini Cavati,Mining Engineering,2.8,3.6,3.2,3.2,,4,2015
Charlotte Emrican,Machine and Deep Engineering,2.8,2,2.4,3.2,,4,2015
Edding Priscilia,Biochemistry,3.2,4.4,3.6,2,2.8,5,2014
Abraham Limpo,Physics,4,3.2,4,,,3,2016
Emerson Esther,Software Programming,4,2,3.2,,,3,2016
McCoaster Love,Geology,3.2,2.8,4,,,3,2016
Sellini James,Computer Science,4,2.4,2.4,,,3,2016
Silver Burna,Micro Biology,2.4,2.4,2.8,3.2,2.4,5,2014
Lorrience Marla,Data Analysis,3.6,2,2.8,,,3,2016
Luke Justin,Bio Technology,2.8,2.8,4,2.8,3.6,5,2014
PyRodri Shorya,Survey and Geo-informatics,4,2.8,3.2,,,3,2016
McCall Whice,Survey and Geo-informatics,3.2,2,3.2,2.4,4.4,5,2014
Honda Whice,Building Technology,3.2,4.4,2.4,3.6,,4,2015
Henry Bill,Architecture,3.2,2,2,2,,4,2015
Paulinho Casandra,Biochemistry,2.8,3.6,2,,,3,2016
Honda Bond,Cyber Security,4.4,4.4,3.6,2.8,3.6,5,2014
Alexander Dembele,Physics,3.6,3.6,2.4,,,3,2016
Sellini Edward,Geology,2,2.8,2.4,,,3,2016
Chelsea Fredie,Building Technology,4.4,3.6,2.4,,,3,2016
Manchester Jordan,Civil Engineering,4.4,4,3.6,3.6,2,5,2014
Charlotte Hummit,Building Technology,2,4,3.6,,,3,2016
Malcomm Bill,Cyber Security,4.4,3.2,2.4,2.4,4.4,5,2014
Chelsea Cavati,Mining Engineering,3.6,4,4,3.2,,4,2015
Alexander James,Biochemistry,4.4,2.4,4,4.4,,4,2015
Narcos Nicki,Cyber Security,4.4,2.4,3.2,4,4.4,5,2014
Ford James,Architecture,4.4,2.8,4.4,,,3,2016
Emerson Edward,Mechganical Engineering,2.4,2.8,4.4,3.6,,4,2015
Rica Cavati,Computer Science,2.8,2.4,4,4,2,5,2014
Marcos Edward,Architecture,4,3.6,4.4,2.4,4.4,5,2014
Luke Mark,Software Programming,3.6,4,2,3.2,,4,2015
Luke Whice,Geology,2.8,2.4,3.6,,,3,2016
Santos Wayne,Machine and Deep Engineering,2.8,2.4,2,2.4,3.6,5,2014
Barcelona Fredie,Geology,3.2,3.6,3.2,,,3,2016
Robert Julius,Software Programming,2,4.4,3.6,2.8,4.4,5,2014
Santos Fredie,Statistics,3.6,3.2,3.2,2.8,,4,2015
Alexander Paul,Architecture,2,3.2,2.4,3.6,,4,2015
Henry Dan,Software Programming,3.2,4.4,3.6,4.4,,4,2015
Febo Jack,Machine and Deep Engineering,3.6,4.4,2.4,4.4,,4,2015
Greenwich White,Architecture,3.6,4,2.8,,,3,2016
Douglas Emrican,Computer Science,2.8,2,2.8,,,3,2016
